38 Sea Zone  (5524,2829)  (5583,2889)  (5523,2889)  (5467,2769)  (5527,2769)  (5584,2829)  (5587,2766)  (5463,2927)  (5624,2949)  (5564,2949)  (5386,2686)  (5322,2867)  (5262,2835)  | overflowToLeft=false
Komi  (4684,194)  (4624,253)  (4624,193)  (4743,254)  (4684,134)  (4744,134)  (4744,194)  (4622,133)  (4683,313)  (4623,313)  (4564,253)  (4564,193)  (4803,254)  (4803,314)  (4743,314)  (4563,314)  (4682,74)  (4742,74)  (4802,74)  (4804,134)  (4804,194)  (4562,133)  (4562,73)  (4622,73)  (4862,16)  (4627,373)  (4504,254)  (4504,194)  (4863,254)  (4863,314)  (4754,374)  (4567,374)  (4507,374)  (4503,314)  (4682,14)  (4742,14)  (4802,14)  (4864,76)  (4864,136)  (4502,134)  (4561,13)  (4621,13)  (4897,374)  (4922,1)  (4924,61)  (4924,121)  | overflowToLeft=false
99 Sea Zone  (3047,1727)  (2987,1786)  (3106,1787)  (3024,1667)  (3084,1667)  (3107,1727)  (3166,1787)  (3065,1607)  (3167,1711)  (3049,1547)  (2986,1500)  (2932,1440)  | overflowToLeft=false
Western Turkey  (3582,1619)  (3522,1678)  (3642,1561)  (3642,1621)  | overflowToLeft=false
Western Ukraine  (3601,1007)  (3541,971)  (3644,1067)  (3584,1067)  (3601,947)  (3661,958)  (3704,1040)  | overflowToLeft=false
84 Sea Zone  (2499,2942)  (2439,3001)  (2439,2941)  (2558,3002)  (2499,2882)  (2559,2882)  (2559,2942)  (2437,2881)  (2498,3061)  (2438,3061)  (2379,3001)  (2379,2941)  (2618,3002)  (2618,3062)  (2558,3062)  (2378,3062)  (2497,2822)  (2557,2822)  (2619,2828)  (2619,2888)  (2377,2881)  (2377,2821)  (2437,2821)  (2498,3121)  (2438,3121)  (2319,3002)  (2319,2942)  (2678,2948)  (2678,3008)  (2678,3068)  (2618,3122)  (2558,3122)  (2378,3122)  (2318,3122)  (2318,3062)  (2497,2762)  (2557,2762)  (2317,2882)  (2317,2822)  (2317,2762)  (2377,2761)  (2437,2761)  (2680,3128)  (2498,3181)  (2438,3181)  (2620,3182)  (2560,3182)  (2378,3182)  (2318,3182)  (2314,2702)  (2497,2702)  | overflowToLeft=false
Paraguay  (1095,2735)  (1119,2795)  (1155,2719)  | overflowToLeft=false
Kazakhstan  (4448,1274)  (4388,1333)  (4388,1273)  (4507,1334)  (4448,1214)  (4508,1214)  (4508,1274)  (4386,1213)  (4447,1393)  (4387,1393)  (4328,1333)  (4328,1273)  (4567,1334)  (4567,1394)  (4507,1394)  (4327,1394)  (4446,1154)  (4506,1154)  (4566,1154)  (4568,1214)  (4568,1274)  (4326,1213)  (4336,1153)  (4626,1120)  (4627,1351)  (4627,1411)  (4567,1454)  (4541,1094)  (4642,1471)  | overflowToLeft=false
Shan State  (5169,2397)  (5197,2457)  (5137,2457)  (5180,2337)  (5200,2517)  (5140,2517)  (5208,2266)  (5268,2249)  (5289,2189)  (5246,2674)  | overflowToLeft=false
Syria  (3744,1815)  (3684,1874)  (3804,1789)  (3864,1773)  | overflowToLeft=false
Western India  (4600,2383)  (4540,2355)  (4627,2443)  (4541,2295)  (4642,2503)  (4642,2563)  | overflowToLeft=false
Anhwe  (5734,1518)  (5674,1577)  (5674,1517)  (5793,1578)  (5734,1458)  (5794,1508)  (5709,1398)  | overflowToLeft=false
Solomon Islands  (7393,3002)  | overflowToLeft=false
