38 Sea Zone  (5453,2940)  (5393,2924)  (5334,2879)  (5276,2846)  (5240,2788)  (5514,2973)  (5509,3031)  | overflowToLeft=false
Komi  (4684,194)  (4624,253)  (4624,193)  (4743,254)  (4684,134)  (4744,134)  (4744,194)  (4622,133)  (4683,313)  (4623,313)  (4564,253)  (4564,193)  (4803,254)  (4803,314)  (4743,314)  (4563,314)  (4682,74)  (4742,74)  (4802,74)  (4804,134)  (4804,194)  (4562,133)  (4562,73)  (4622,73)  (4862,16)  (4627,373)  (4504,254)  (4504,194)  (4863,254)  (4863,314)  (4754,374)  (4567,374)  (4507,374)  (4503,314)  (4682,14)  (4742,14)  (4802,14)  (4864,76)  (4864,136)  (4502,134)  (4561,13)  (4621,13)  (4897,374)  (4922,1)  (4924,61)  (4924,121)  | overflowToLeft=false
99 Sea Zone  (3013,1718)  (3073,1718)  (3134,1718)  (3013,1777)  (3072,1777)  (3133,1778)  | overflowToLeft=false
Western Turkey  (3525,1670)  (3613,1577)  (3672,1577)  | overflowToLeft=false
Western Ukraine  (3554,1023)  (3613,1023)  (3673,1023)  (3553,1081)  (3612,1082)  | overflowToLeft=false
84 Sea Zone  (2499,2942)  (2439,3001)  (2439,2941)  (2558,3002)  (2499,2882)  (2559,2882)  (2559,2942)  (2437,2881)  (2498,3061)  (2438,3061)  (2379,3001)  (2379,2941)  (2618,3002)  (2618,3062)  (2558,3062)  (2378,3062)  (2497,2822)  (2557,2822)  (2619,2828)  (2619,2888)  (2377,2881)  (2377,2821)  (2437,2821)  (2498,3121)  (2438,3121)  (2319,3002)  (2319,2942)  (2678,2948)  (2678,3008)  (2678,3068)  (2618,3122)  (2558,3122)  (2378,3122)  (2318,3122)  (2318,3062)  (2497,2762)  (2557,2762)  (2317,2882)  (2317,2822)  (2317,2762)  (2377,2761)  (2437,2761)  (2680,3128)  (2498,3181)  (2438,3181)  (2620,3182)  (2560,3182)  (2378,3182)  (2318,3182)  (2314,2702)  (2497,2702)  | overflowToLeft=false
Paraguay  (1095,2735)  (1119,2795)  (1155,2719)  | overflowToLeft=false
Kazakhstan  (4448,1274)  (4388,1333)  (4388,1273)  (4507,1334)  (4448,1214)  (4508,1214)  (4508,1274)  (4386,1213)  (4447,1393)  (4387,1393)  (4328,1333)  (4328,1273)  (4567,1334)  (4567,1394)  (4507,1394)  (4327,1394)  (4446,1154)  (4506,1154)  (4566,1154)  (4568,1214)  (4568,1274)  (4326,1213)  (4336,1153)  (4626,1120)  (4627,1351)  (4627,1411)  (4567,1454)  (4541,1094)  (4642,1471)  | overflowToLeft=false
Shan State  (5124,2463)  (5184,2463)  (5124,2523)  (5184,2523)  (5201,2583)  | overflowToLeft=false
Syria  (3744,1815)  (3684,1874)  (3804,1789)  (3864,1773)  | overflowToLeft=false
Western India  (4600,2383)  (4540,2355)  (4627,2443)  (4541,2295)  (4642,2503)  (4642,2563)  | overflowToLeft=false
Anhwe  (5739,1540)  (5680,1540)  (5798,1540)  (5731,1599)  | overflowToLeft=false
Solomon Islands  (7350,2994)  (7407,3022)  | overflowToLeft=false
Yukon Territory  (9107,98)  (9047,157)  (9047,97)  (9166,158)  (9107,38)  (9167,38)  (9167,98)  (9045,37)  (9106,217)  (9190,218)  | overflowToLeft=false
100 Sea Zone  (3435,1912)  (3495,1912)  (3375,1911)  (3314,1911)  (3555,1912)  | overflowToLeft=false
56 Sea Zone  (6647,3023)  (6587,3022)  (6735,3022)  (6795,3021)  (6646,2963)  (6588,2965)  (6735,2965)  (6530,2965)  (6529,3025)  (6527,3083)  (6587,3081)  (6646,3081)  | overflowToLeft=false
Marshall Islands  (7632,2177)  | overflowToLeft=false
9 Sea Zone  (7993,544)  (7932,544)  (7871,544)  (7810,544)  (8053,544)  (8114,543)  (8174,544)  (8234,545)  (8294,545)  (8354,543)  (7809,603)  (7869,604)  (7931,604)  (7991,603)  (8051,602)  (8113,603)  (8175,603)  (8236,605)  (8294,604)  (8354,603)  | overflowToLeft=false
115 Sea Zone  (2660,379)  (2720,378)  (2659,438)  (2720,437)  (2660,319)  (2718,317)  (2657,498)  (2718,498)  (2696,557)  (2755,559)  | overflowToLeft=false
13 Sea Zone  (8599,1508)  (8539,1567)  (8539,1507)  (8658,1568)  (8599,1448)  (8659,1448)  (8659,1508)  (8537,1447)  (8598,1627)  (8538,1627)  (8479,1567)  (8479,1507)  (8718,1568)  (8718,1628)  (8658,1628)  (8478,1628)  (8597,1388)  (8657,1388)  (8717,1388)  (8719,1448)  (8719,1508)  (8477,1447)  (8477,1387)  (8537,1387)  (8777,1367)  (8778,1568)  (8778,1628)  (8779,1427)  (8779,1487)  | overflowToLeft=false
Malaya  (5333,2804)  (5392,2804)  (5400,2864)  | overflowToLeft=false
